ʒ	h	
k m	∅ m	. _
k m	∅ m	. _
k m	∅ m	. _
k m	∅ m	. _
k	w	# _
k	w	# _
k	w	# _
g	ʃ	_ ü
g	ʃ	_ ü
g	ʃ	_ ü
a i ̝	a	
a i ̝	a	
a i ̝	a	
a i ̝	a	
a i ̝	a	
a i ̝	a	
e a	ɛ ə	
e a	ɛ ə	
t	ʃ	_ ʊ
ɱ	v	
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
t	s	_ ü
k	d ̠	_ ɪ
b	ȸ ͡ v	# _ u ̝
b	ȸ ͡ v	# _ u ̝
ă u	ɑ ∅	. ∅ _ k ̚ .
b	ʃ	_ ɪ
b	ʃ	_ ɪ
b	ʃ	_ ɪ
b	ʃ	_ ɪ
b	ʃ	_ ɪ
k	kʰ	# _
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
i ̝ u	i o	
j	ɣ	# _
ɕ	s	
e a	a a	
l	ɐ	. p _
l	ɐ	. p _
u	ʊ	
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
d	l	_ ɪ
ɪ ă ∅ t ̚	ɪ̆ ɛ i ∅	. ∅ _ .
θ	t̠͡ʃ	
θ	t̠͡ʃ	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
e o	ə	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
t	tʰ	
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
b	f	# _
e	iː	_ .
ɟ	∅	_ #
x r	∅ r	. _
x r	∅ r	. _
x	ɕ	
z	r	
ɒ	a	. ∅ _ n .
a o	a e	
d	x	_ ü
ɟ	t͡s	. _
k	f	# _
b	dʰ	_ i
b	dʰ	_ i
e r i	e ∅ i	_ #
d̠͡ʒ	r	
i ̝ a	ɛ a	
u ̝ a	o a	
u ̝ a	o a	
u ̝ a	o a	
u ̝ a	o a	
u ̝ a	o a	
u ̝ a	o a	
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
g	v	_ u
j	ɲ	. _
a a	e	
a a	e	
a a	e	
a a	e	
k	t̠͡ʃʲ	
k	t̠͡ʃ	_ e
k	t̠͡ʃ	_ e
k	t̠͡ʃ	_ e
k	t̠͡ʃ	_ e
k	t̠͡ʃ	_ e
g r	kʰ r	. _
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
ʔ	∅	
o e	u ə	
x r	kʰ ∅	. _
x r	kʰ ∅	. _
x r	kʰ ∅	. _
a	∅	ɨ _
a	∅	ɨ _
g	k ʼ	
n ̠ʲ ∅	n ̠ʲ z ̠ʲ	. _ i
g	d̠͡ʒ	_ u
g	d̠͡ʒ	_ u
k l	cʷ ∅	. _
u ∅	u ə	. _ ŋ .
b	j	_ ʊ
b	j	_ ʊ
b	j	_ ʊ
b	j	_ ʊ
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
e i ̝	ɛ i	
ɣʷ	kʷ	. _
t n	t͡s ∅	. _
u i ̝	ʊ	
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɗ	∅	_ a
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
ɲ	n	_ w
q	g	# _
q	g	# _
q	g	# _
n	d	
n	d	
n	d	
i d	e ɲ	
i d	e ɲ	
i d	e ɲ	
i d	e ɲ	
i d	e ɲ	
i d	e ɲ	
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
t	l	# _
k	t͡s	# _
k	t͡s	# _
k	t͡s	# _
k	x	_ ʊ
t͡s	s	. _
t͡s	s	. _
t͡s	s	. _
t͡s	s	. _
t͡s	s	. _
c	h	_ ü
p	v	_ ɪ
g	t̠͡ʃ	
e u ̝	e u	
e u ̝	e u	
xʷ	kʷʰ	. _
xʷ	kʷʰ	. _
xʷ	kʷʰ	. _
xʷ	kʷʰ	. _
xʷ	kʷʰ	. _
xʷ	kʷʰ	. _
p	v	
p	v	
kʰ r	k l	. _
b	dʰ	_ ü
b	dʰ	_ ü
d	r	# _ i ̝
d	r	# _ i ̝
d	r	# _ i ̝
j	d	# _
j	d	# _
j	d	# _
ĩ	ũ	m _
u i ̝	u u	
u i ̝	u u	
u i ̝	u u	
u i ̝	u u	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
e e	ɛ ɛ	
u	uː	
u	uː	
u	uː	
u	uː	
u	uː	
u	uː	
j	z	_ ü
j	z	_ ü
j	z	_ ü
j	z	_ ü
j	z	_ ü
j	z	_ ü
j	z	_ ü
j	z	_ ü
j	z	_ ü
j	z	_ ü
d	ɽ	
d	ɽ	
d	ɽ	
d	ɽ	
ɲ	n ̪	
ɲ	n ̪	
k	v	_ ʊ
k	v	_ ʊ
p	h	_ o
p	h	_ o
p	h	_ o
p	h	_ o
e a	e i	
∅ ĕ	ɪ̆ e	. t ͡ ̠ _ t ̚ .
∅ ĕ	ɪ̆ e	. t ͡ ̠ _ t ̚ .
t̠͡ʃʰ	tʰ	. _
ɑ	a	. ∅ _ ŋ .
θ	t	
θ	t	
θ	t	
θ	t	
θ	t	
i d	e ∅	
t ̚	∅	. ∅ i e _ .
u e	ɔ	
t͡s	θ	. _
c	ʃ	# _ a d
i i	i ∅	# _
w a i	u a ∅	. _ .
d	r	# _ i u
d	r	# _ i u
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
b	β	
ɪ̆ w ə k ̚	∅ y ∅ ∅	. ∅ _ _ .
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
p	f	_ ɪ
e	i	_ d
k l	cʰ ∅	. _
t	ɽ	
c ͡ ɕ	t̠͡ʃ	
c ͡ ɕ	t̠͡ʃ	
∅	ð	o _ a
i ̝ o	u ɔ	
u ̝ ∅ d	ɥ i ɲ	
u ̝ ∅ d	ɥ i ɲ	
u ̝ ∅ d	ɥ i ɲ	
u ̝ ∅ d	ɥ i ɲ	
u ̝ ∅ d	ɥ i ɲ	
e a	∅ æ	. t ͡ ʒ _ n .
e u	a o	
i ̝ o	i ɛ	
a u ̝	a i	
a u ̝	a i	
t	r	
t	r	
t	r	
t	r	
t	r	
t	r	
c	∅	# _
c	∅	# _
c	∅	# _
c	∅	# _
x	ɣ	. _
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
p	mʰ	
m	b	# _
m	b	# _
m	b	# _
e	a	_ a
mʰ	p	
ɲ	ɴ	_ .
ɣʷ	xʷ	. _
ɣʷ	xʷ	. _
p	v	_ ü
u ̝ i ̝	u	
u ̝ i ̝	u	
d	r	# _ u ̝ ̝
e a	ə	
e a	ə	
e a	ə	
e a	ə	
e a	ə	
e a	ə	
e a	ə	
e a	ə	
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
d	s	_ ü
e	iː	_ d
u u	ɔ	
u u	ɔ	
k	t ̠	_ ü
u ̝ i ̝	u i	
u ̝ i ̝	u i	
u ̝ i ̝	u i	
u ̝ i ̝	u i	
u ̝ i ̝	u i	
u ̝ i ̝	u i	
u ̝ i ̝	u i	
u ̝ i ̝	u i	
o	u	_ a
e e	ɛ ə	
d	ȹ	_ ʊ
d	ȹ	_ ʊ
d	ȹ	_ ʊ
a d	ɛ ∅	
t	ṛ	
w	b	Ṽ d _
w	b	Ṽ d _
e i ̝	ɛ ɛ	
xʰ	kʰ	. _
h	∅	
h	∅	
h	∅	
h	∅	
g	ð	_ i ̝
g	ð	_ i ̝
g	ð	_ i ̝
a a	ɥ ɛ	
b	∅	_ u
b	∅	_ u
b	∅	_ u
b	∅	_ u
b	∅	_ u
xʷ	v	_ a
e e	i ɛ	
e e	i ɛ	
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
ɗ̥ˀ	t	# _
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
b	β	_ a
u d	i ∅	
g	tʰ	. _ r
i u ̝	e u	
i u ̝	e u	
j	dʰ	
j	dʰ	
i u	ə	
i u	ə	
i u	ə	
i u	ə	
i u	ə	
i u	ə	
g	ʒ	
j	∅	i _
j	∅	i _
j	∅	i _
i a	i i	
g	gʲ	_ e
w æ	u a	. ∅ _ n .
a d	ɛ ɲ	
a d	ɛ ɲ	
a d	ɛ ɲ	
a d	ɛ ɲ	
e	əː	
e	əː	
e	əː	
e	əː	
e	əː	
e	əː	
d	z	_ ʊ
d	z	_ ʊ
d	z	_ ʊ
d	z	_ ʊ
d	z	_ ʊ
d	z	_ ʊ
d	z	_ ʊ
d	z	_ ʊ
d	z	_ ʊ
u ∅ d	ɥ iː ∅	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
ɟ	ʄ	
a a	ɛ	
a a	ɛ	
a a	ɛ	
a a	ɛ	
a a	ɛ	
a a	ɛ	
a a	ɛ	
g	k	# d i ̝ n _
t	p	_ ʊ
ɓ	∅	_ u
ɓ	∅	_ u
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
b	β	_ o
ɟ	j	# n _
j	l	
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
ɓ	∅	i ̝ _
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
b	v	_ ü
o	oː	
g	ɟ	. _
k	c	_ ɛ
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
k	g	
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
p	β	# _
i ə i	∅ ∅ i	. ɱ _ .
k	t ̠	_ i
t͡s	t̠͡ʃ	
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
t	s	_ ɪ
e e	e i	
e e	e i	
e e	e i	
e e	e i	
e e	e i	
o a	ɔ	
o a	ɔ	
o a	ɔ	
o a	ɔ	
o a	ɔ	
o a	ɔ	
o a	ɔ	
d	j	_ i
d	j	_ i
d	j	_ i
d	j	_ i
o e	o o	
o e	o o	
ɣ	v	. _
ɣ	v	. _
s	x	
s	x	
s	x	
e m	e ∅	
ɗ	d	. _
ɗ	d	. _
ɗ	d	. _
ɗ	d	. _
ɗ	d	. _
ɗ	d	. _
k	z	_ i
k	z	_ i
k	z	_ i
k	z	_ i
k	z	_ i
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
ɟ	d͡z	# _
θ	ʃ	_ i
θ	ʃ	_ i
θ	ʃ	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
d	z	_ i
b	v	_ a
b	v	_ a
b	v	_ a
b	v	_ a
b	v	_ a
b	v	_ a
b	v	_ a
b	v	_ a
j	t͡s	
j	t͡s	
j	t͡s	
j	t͡s	
j	t͡s	
j	t͡s	
j	t͡s	
j	t͡s	
t	h	_ u
t	h	_ u
t	h	_ u
t	h	_ u
ɣ	w	. _
t	θ	
a a	ɔ	
t	t ̠ʲ	. _ ĕ .
e o	e i	
e o	e i	
e o	e i	
e o	e i	
b	ð	_ i ̝
b	ð	_ i ̝
b	ð	_ i ̝
o	ɔː	
o	ɔː	
o	ɔː	
o	ɔː	
o	ɔː	
o	ɔː	
o	ɔː	
o	ɔː	
p	β	_ ɪ
p	β	_ ɪ
ɪ̆ aː u k ̚	ɪ̆ ɛ u ∅	. ʑ ̠ʲ _ .
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
j	d͡z	# _
a u	á ∅	_ #
t̠͡ʃ	h	
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
d	v	_ ʊ
k	kʲ	_ e
k	kʲ	_ e
i u ̝	ə	
k	k ͡ p	# _
k	k ͡ p	# _
k	k ͡ p	# _
z	s	. _
z	s	. _
z	s	. _
z	s	. _
z	s	. _
z	s	. _
z	s	. _
b	v	_ o
b	v	_ o
b	v	_ o
qˀ	ɣ	# _
i w e	∅ y a	. ∅ _ n .
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
g	s	_ ü
b	ʒ	_ ʊ
b	ʒ	_ ʊ
e d	e ɲ	
e d	e ɲ	
e d	e ɲ	
e d	e ɲ	
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
t	c	_ ʊ
e e	ə a	
e e	ə a	
u ̝ ∅ d	ɥ i ∅	
u ̝ ∅ d	ɥ i ∅	
a a	e a	
b	ɡ͡b	# _ u ̝ d
b	ɡ͡b	# _ u ̝ d
b	ɡ͡b	# _ u ̝ d
c	t͡s	# n _
c	t͡s	# n _
c	t͡s	# n _
c	t͡s	# n _
e m	a ∅	w _
t̠͡ʃʰʲ	ʈ͡ʂʰ	
ʄ	j	. _
kʰ	t̠͡ʃʰʲ	. _
k r	kʰʲ ∅	. _
m l	n ∅	. _
m l	n ∅	. _
m l	n ∅	. _
m l	n ∅	. _
p r	k j	. _
g	j	_ ü
g	j	_ ü
g	j	_ ü
g	j	_ ü
g	j	_ ü
g	j	_ ü
g	j	_ ü
g	j	_ ü
g	j	_ ü
g	c	_ ɪ
g	c	_ ɪ
g	c	_ ɪ
g	c	_ ɪ
g	c	_ ɪ
aː	a	
xʷ	h	. _
xʷ	h	. _
xʷ	h	. _
u ̝ i	o i	
d	s	_ u
ɪ̆ ɐ ŋ	i ∅ ŋ	. ∅ _ .
ɟ	ʒ	
ɟ	ʒ	
ɟ	ʒ	
f	v	
u i	u e	
p	mʰ	_ i
ʑ	s	
e aː t ̚	æ i ∅	. n _ .
e aː t ̚	æ i ∅	. n _ .
u ̝ o	u	
u ̝ o	u	
u ̝ o	u	
u ̝ o	u	
u ̝ o	u	
u ̝ o	u	
k	t͡s	_ i
k	t͡s	_ i
k	t͡s	_ i
k	t͡s	_ i
k	t͡s	_ i
k	t͡s	_ i
k	t͡s	_ i
k	t͡s	_ i
u ̝ o	o	
qˀ	q	# _
qˀ	q	# _
ʑ	ʂ	
g	w	
u ̝ a	u ɔ	
gʷ r	k l	. _
g	k	_ ü
∅ ĕ	ɪ̆ e	. t ͡ t _ t ̚ .
∅ ĕ	ɪ̆ e	. t ͡ t _ t ̚ .
p	β	_ ü
p	β	_ ü
b	v	# _ u ̝ ̝
a i	ɒ i	. ∅ _ .
ɪ̆ aː u k ̚	ɪ̆ ɛ u ∅	.ʰ ̠ʲ _ .
ɪ̆ aː u k ̚	ɪ̆ ɛ u ∅	.ʰ ̠ʲ _ .
e aː t ̚	æ i ∅	. ʑ _ .
t	t͡s	# _ i ̝ ̝
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
p	∅	# _
n	l	# _ i ̝
k t	kʲ ∅	. _
p	b	_ ɪ
p	b	_ ɪ
p	b	_ ɪ
p	b	_ ɪ
a a	a o	
l	∅	_ .
d	l	_ i
d	l	_ i
d	l	_ i
d	l	_ i
d	l	_ i
d	l	_ i
d	l	_ i
u u	u	
u u	u	
u u	u	
u u	u	
u u	u	
u u	u	
u u	u	
u u	u	
u u	u	
u u	u	
i ∅	i e	_ #
u	ɨ	_ i
e a	∅ æ	. t ͡ ̠ _ n .
e a	∅ æ	. t ͡ ̠ _ n .
t	c	_ ü
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
g	z	_ i ̝
p	ɸ	_ ü
o e	w a	
o e	w a	
